Grapheme	IPA	Frequence	Codepoints
p	p	57	U+0070
pʷ	pʷ		
b	b	18	U+0062
bʷ	bʷ	1	U+0062 U+02b7
t	t	63	U+0074
c	c	3	U+0063
j	j	6	U+006a
d	d	14	U+0064
dr	dr		
k	k	48	U+006b
g	g	4	U+0067
q	ʔ	39	U+0071
s	s	38	U+0073
z	z	4	U+007a
m	m	35	U+006d
mʷ	mʷ	4	U+006d U+02b7
n	n	42	U+006e
ñ	ñ	11	U+00f1
ŋ	ŋ	17	U+014b
l	l	26	U+006c
r	r	26	U+0072
R	R	23	U+0052
w	w	8	U+0077
ns	ns	1	U+006e U+0073
a	a	186	U+0061
e	e	21	U+0065
u	u	97	U+0075
i	i	85	U+0069
o	o	51	U+006f
-	NULL	23	U+002d
*	*	8	U+002a
_	_	3	U+005f
+	+	1	U+002b
